Date,Close,High,Low,Open,Volume
,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
2020-01-01,186.56716918945312,186.9589523990435,185.78360277027232,186.9589523990435,4208837
2020-01-02,187.9384307861328,188.80034676685537,186.56718940399256,186.64553888063497,8402979
2020-01-03,186.88058471679688,188.83950069915323,186.4888015203256,188.83950069915323,9284478
2020-01-06,184.2164764404297,186.72388667914208,184.13811501323315,186.0970311303952,7636617
2020-01-07,184.41233825683594,186.41042280849268,183.82466351663732,184.96083228976667,8416741
2020-01-08,183.51124572753906,184.76495673118484,182.76686004999436,183.35453484115192,7043211
2020-01-09,184.7649383544922,185.39179379396813,184.1772636217847,184.60822748369148,9452653
2020-01-10,186.48878479003906,187.07645953202447,185.54850759411704,186.17536304348945,9973746
2020-01-13,187.46826171875,188.4477197214603,186.68469531658175,186.88058691712382,12243639
2020-01-14,190.60250854492188,191.03347241490093,186.72385762765705,188.2518095700616,11843444
2020-01-15,189.9364776611328,190.40662225167105,188.91785097542257,190.05401978690418,5476729
2020-01-16,188.6436004638672,191.11182970611858,188.13428711428318,190.01484158873436,9369668
2020-01-17,188.01675415039062,189.70142907395535,187.58579024174503,188.6436096578502,7392403
2020-01-20,189.54469299316406,190.60251233539717,188.09510243693646,188.09510243693646,8020816
2020-01-21,186.84141540527344,189.19211472751954,186.48881289819153,189.19211472751954,9571070
2020-01-22,186.52798461914062,187.74251493500472,185.78359892757052,187.74251493500472,7654918
2020-01-23,186.4104461669922,187.07648240518546,185.62687974854117,186.56716901570218,6120434
2020-01-24,186.60633850097656,187.35073616643436,185.7052418987457,186.01866368484127,6801874
2020-01-27,183.82469177246094,186.01866824142158,183.58961944899372,185.70524644764865,6837613
2020-01-28,180.8079376220703,184.84329959472294,180.6120460320139,183.94220306297294,14582907
2020-01-29,185.43099975585938,186.21456622337837,181.1213841845049,181.39563723064674,20469708
2020-01-30,183.3937530517578,185.7052719783768,182.57100578464892,185.66609125969987,10394149
2020-01-31,184.25564575195312,186.80223671192337,183.39372983157443,184.72579040399614,18455880
2020-02-03,162.66842651367188,169.95558613024843,160.63114862662817,168.46681441329298,79764370
2020-02-04,168.97608947753906,170.50405352346328,163.88290787452345,165.1757996090536,35767812
2020-02-05,169.6029510498047,170.42569819094697,165.72429962016224,169.485420868045,21253607
2020-02-06,167.33058166503906,172.30622037462146,165.95934067356575,170.81744922353093,27388582
2020-02-07,167.21310424804688,169.01530978255573,166.70379075094266,167.5265380554225,17133407
2020-02-10,164.97988891601562,167.72237100025532,164.58810576112424,167.68319029351156,9617387
2020-02-11,166.5862274169922,169.99473420588015,165.95937188318038,169.64213170444688,29803784
2020-02-12,166.93882751464844,168.31006874424685,165.95936949350673,167.21306858680333,9928416
2020-02-13,166.03770446777344,167.25223469922608,165.48921041506782,166.93881294232963,9153131
2020-02-14,162.74671936035156,166.82126176018195,162.04151446748065,166.31194844380553,13731692
2020-02-17,160.47439575195312,163.49111911744012,159.8475402616331,162.98180575695923,15561953
2020-02-18,159.73001098632812,160.31768577000665,157.10505883672116,160.27850505983992,20934864
2020-02-19,161.96316528320312,162.31576775626138,159.73000831631816,160.82699644500477,9054560
2020-02-20,162.5508575439453,163.4127854208334,160.9837246450762,162.1982550329548,15592846
2020-02-24,159.06396484375,162.55083261778935,158.1236876398692,162.1982301608682,16594046
2020-02-25,158.12371826171875,160.94455041963656,157.8886459261567,159.69085122376498,15313516
2020-02-26,155.61630249023438,158.24124293641322,153.81409725543568,157.22260415532915,17869240
2020-02-27,154.79354858398438,156.04724768158562,153.50065681787328,155.45957286688275,17271066
2020-02-28,154.79354858398438,156.63492249628845,150.4839332761635,152.79545182273975,32628444
2020-03-02,153.03054809570312,159.41661063265613,151.73765612719913,156.3215251819628,18560049
2020-03-03,151.89434814453125,154.71517994989122,150.87570945525925,154.3625774687555,17947416
2020-03-04,146.91868591308594,153.22639721954243,146.1743002957143,152.75625264211124,27664076
2020-03-05,147.3496551513672,149.817884382122,146.17430562124133,146.95787197465856,20025924
2020-03-06,142.4132080078125,144.8422688828907,140.84607504486547,144.8422688828907,26764504
2020-03-09,138.84796142578125,140.25838331404887,136.73233457151693,140.25838331404887,21794299
2020-03-11,137.63345336914062,138.49538131684787,135.04769343857117,136.3405734038559,27956087
2020-03-12,122.07965087890625,132.5402554337046,117.96592716542635,132.4227252529722,52039692
2020-03-13,127.13365173339844,128.50489296935189,105.46804498784383,117.53496308172429,61590681
2020-03-16,115.38018035888672,123.88188264152615,113.81304717913955,123.80352120002786,33254907
2020-03-17,116.8689193725586,122.07964290992474,114.43987079787703,115.96782282903179,47657482
2020-03-18,118.08346557617188,121.17855076601388,115.45852505457637,119.18046581665519,50243331
2020-03-19,126.82022857666016,128.15228908593076,113.42123814768772,118.08345590827211,89748454
2020-03-20,137.51589965820312,138.29946603802196,129.36681409059705,129.36681409059705,61996400
2020-03-23,120.90431213378906,126.93777173227798,116.9081182411885,123.80350576357976,51353150
2020-03-24,117.29989624023438,128.26982663997288,115.49769099759371,127.68215179712973,52552796
2020-03-25,115.4585189819336,119.1020981222422,108.91573446705043,118.31853168722745,62505978
2020-03-26,122.54979705810547,124.90049658190244,112.24590226130579,117.53497618984899,58443451
2020-03-27,127.8780288696289,130.07201709134003,121.4527870431187,126.93775161925956,32636484
2020-03-30,124.74376678466797,129.21009281240032,122.27553744089528,122.27553744089528,28120340
2020-03-31,134.53836059570312,136.22303568106983,126.5851657025137,128.5049011640137,42630666
2020-04-01,130.3854522705078,135.361104001856,128.93586151429645,134.53835683953324,18141970
2020-04-03,139.3964385986328,143.19673989827817,130.8555707962378,131.5607756767024,62867436
2020-04-07,142.2564697265625,145.50826521638325,136.06628854041108,145.50826521638325,36118591
2020-04-08,139.98414611816406,144.17623154617448,138.4170131665752,141.70800192993227,37561082
2020-04-09,145.15567016601562,145.9392365366824,141.04194672001518,144.1762122026822,42626960
2020-04-13,142.29566955566406,146.25267049232045,141.86470562462253,144.56800743748306,17744169
2020-04-15,148.36831665039062,151.81600435385175,143.15759242396408,144.21541194648822,49092699
2020-04-16,146.01760864257812,149.81789864467225,145.31239168360227,148.60336828999843,27080032
2020-04-17,147.38882446289062,149.97458366419488,146.48771605237823,149.2301980772657,26667421
2020-04-20,141.59043884277344,148.83842767185348,140.65016160214756,148.83842767185348,35764287
2020-04-21,140.728515625,144.41127493173926,137.94685280228188,139.47480473253535,23333661
2020-04-22,142.80496215820312,143.82360076787018,137.90767264660494,140.25837161217206,25163402
2020-04-23,141.47291564941406,144.17621733315585,140.76769871695464,143.35347022342373,32968029
2020-04-24,141.0811309814453,143.235938555025,140.49345618865084,141.82551666106343,18049697
2020-04-27,140.92442321777344,142.84415852552544,140.49345930225167,141.2378449983668,13085703
2020-04-28,140.61099243164062,141.66881188682208,139.51400422026893,141.0419563562062,17802635
2020-04-29,142.7266082763672,143.3142830487754,140.76769236833977,141.43372855957864,21461067
2020-04-30,142.6482696533203,144.88142678439965,141.39455859440665,144.88142678439965,30164713
2020-05-04,136.37974548339844,142.41320486640078,133.71561233138965,142.41320486640078,30294317
2020-05-05,136.26219177246094,139.04385487544752,134.77342039939597,137.12411959240868,17707577
2020-05-06,128.42652893066406,134.30327696512902,125.76240793754975,134.30327696512902,65586734
2020-05-07,126.15418243408203,129.9544840166244,125.7623992588209,128.50488148564878,24249585
2020-05-08,123.9993896484375,128.62242688125627,123.09829302118006,128.46571598385606,25307015
2020-05-11,124.15609741210938,128.1131102420326,123.80349491278993,125.37062775978727,18095473
2020-05-12,129.32763671875,129.99366098502395,123.41170800715227,124.15609369594053,21387527
2020-05-13,129.60186767578125,136.02712121998977,128.89666275325763,135.87039838718587,20015124
2020-05-14,128.34817504882812,131.83504303807516,126.8985724676829,128.89666912192192,14949993
2020-05-15,129.01419067382812,129.6802268328202,126.2717085353697,127.09445556816188,14950243
2020-05-18,129.09255981445312,131.09065645473285,127.83884883647691,130.07201777966142,20801299
2020-05-19,133.79396057128906,134.49916553703216,129.36681526754526,130.4638034267621,20142171
2020-05-20,137.7117919921875,138.6912499722173,133.98985166807432,134.73423734164214,25320734
2020-05-21,148.0548858642578,149.23023559901975,135.28274968858952,137.59428039864198,58382197
2020-05-22,146.01760864257812,150.36639275302582,144.64636739355683,147.3104884662883,39013770
2020-05-26,150.2096710205078,152.75626172780164,147.1537669542648,148.87761058025507,53233404
2020-05-27,150.56227111816406,151.93351224658548,146.44854773289975,150.83652412635786,24546119
2020-05-28,149.3869171142578,151.14994136953044,148.0940374429006,150.67980874188848,24578072
2020-05-29,154.63682556152344,155.1461389118052,148.09404168854132,149.2302105165902,35834621
2020-06-01,157.14425659179688,160.8270165777173,155.9297261825371,157.49685910899478,28508405
2020-06-02,154.5584716796875,158.202050640197,154.1275077704411,158.202050640197,22631373
2020-06-03,154.1274871826172,157.4184632164275,153.26557143553052,156.7132583364227,18979188
2020-06-04,156.830810546875,158.6721963737218,152.79544835988025,154.9502559649555,21996048
2020-06-05,156.7133026123047,158.28043563842775,155.6554830371612,158.12372472707065,14629659
2020-06-08,154.87188720703125,159.57328539543118,154.36257385246415,158.9856106218812,19551313
2020-06-09,155.53793334960938,161.57139235277253,154.87189711446894,155.3420417458945,39914264
2020-06-10,155.96888732910156,159.18150225151996,155.3812125554096,156.28230909256106,27199665
2020-06-11,152.20777893066406,157.6927439371745,151.69846553399805,156.71328590029762,19847133
2020-06-12,151.93353271484375,152.95217151015535,147.19296516867794,148.05488110603744,22562768
2020-06-15,146.68362426757812,151.97269734421872,145.9784193065357,151.93351663387767,24462536
2020-06-16,144.9597930908203,149.62201107194574,142.5307323159776,149.50448088708487,27636105
2020-06-17,141.9822235107422,144.95977810082474,141.5904403266859,144.17621173271215,24027295
2020-06-18,146.21348571777344,146.91869065038583,141.59043707821044,141.98222025327814,28887489
2020-06-19,144.21539306640625,147.27129713275886,143.86279059048462,146.6052728907456,30531449
2020-06-22,144.9597930908203,146.91870921366925,143.51019037740204,146.13514276452966,31395991
2020-06-23,145.62582397460938,146.9187037854111,144.76389612989175,145.27320952050462,26546793
2020-06-24,150.3271942138672,152.56035091750465,145.86085689404734,146.84031473501267,54652978
2020-06-25,158.35877990722656,159.45576812409615,150.1705011682666,150.6406458076535,75574255
2020-06-26,152.95216369628906,164.0788045347632,151.46339227200423,161.41468347353518,71956002
2020-06-29,154.5584716796875,159.06397845868977,153.73572457226697,158.67219526051568,91503336
2020-06-30,152.5211944580078,156.243134845331,152.0118810822523,156.243134845331,41210494
2020-07-01,158.98561096191406,159.7300085750219,152.5211884390383,152.5211884390383,44297953
2020-07-02,161.2971649169922,162.00236996747213,158.7113931381063,160.20016466968647,39320871
2020-07-03,162.6292266845703,163.37361245558282,161.414696239089,162.98182921228405,37893277
2020-07-06,164.60646057128906,166.37774625769865,163.90617781840317,165.059583966036,34710176
2020-07-07,160.03407287597656,165.18317431986253,159.82810881822112,164.77124620435166,31263172
