Date,Close,High,Low,Open,Volume
,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
2020-02-05,1682.7200927734375,1700.3464064162977,1670.1226965576557,1694.9191288062675,2096512
2020-02-06,1667.0355224609375,1690.836113671168,1661.0604847460238,1686.852755194559,2532618
2020-02-07,1646.1728515625,1670.9691626444885,1637.160453724494,1668.7783639469712,2290151
2020-02-10,1662.35498046875,1667.632857054301,1638.853070248381,1653.0936241901773,1355124
2020-02-11,1670.47119140625,1678.7865498289857,1659.6166363468542,1675.4503897132972,1914766
2020-02-12,1707.7655029296875,1712.844261019054,1668.0314751202998,1673.1102332096661,3010537
2020-02-13,1682.769775390625,1707.566083748705,1675.3009785207337,1707.566083748705,2246920
2020-02-14,1673.9566650390625,1695.9149786548512,1656.678870866727,1688.9441008799927,1892157
2020-02-17,1684.0643310546875,1692.1306075395917,1665.2927788201544,1677.9897337790164,1812765
2020-02-18,1683.9647216796875,1692.7281585665125,1671.317607699503,1675.5000852904047,2219039
2020-02-19,1694.022705078125,1732.7608895065957,1688.3464680305833,1732.7608895065957,3168534
2020-02-20,1678.9359130859375,1692.1806298747213,1669.2264758981908,1690.238791062158,2099903
2020-02-24,1671.267822265625,1676.7449401100826,1655.384229141679,1665.043824715105,1926133
2020-02-25,1668.828125,1682.670198809596,1661.409046710459,1669.226363607864,1535555
2020-02-26,1659.5667724609375,1670.7201278872974,1650.106295810245,1663.1517708792348,2585895
2020-02-27,1675.749267578125,1681.873706090948,1653.6913937473703,1659.068952479665,2689352
2020-02-28,1613.608642578125,1653.1932659674558,1607.0361256486128,1648.0149487654035,3743312
2020-03-02,1592.3475341796875,1630.4882398147258,1577.6090593471647,1624.2144016554535,4762847
2020-03-03,1619.5340576171875,1629.542173076917,1580.3975110807535,1597.1276656831503,2918386
2020-03-04,1601.26025390625,1626.3056444357626,1571.0365460244418,1625.4093644733587,2530221
2020-03-05,1644.479736328125,1669.525127146875,1601.3101130045782,1608.280990362185,5060962
2020-03-06,1624.2642822265625,1637.160356850494,1591.550853028582,1598.5217304604273,3542243
2020-03-09,1571.5843505859375,1603.2519781683736,1536.1822027948294,1588.3642241904424,5535501
2020-03-11,1582.68798828125,1598.2230623508376,1536.0826445100313,1569.3934318389292,4714202
2020-03-12,1458.9549560546875,1540.0162078813914,1345.329552543685,1503.6183409079047,7807913
2020-03-13,1463.93408203125,1498.7386281258694,1167.1738752661277,1394.1754680240645,11408890
2020-03-16,1377.9432373046875,1438.73929489549,1369.279481212181,1411.1047453655715,6580520
2020-03-17,1317.1968994140625,1397.1130218001915,1297.678468913241,1386.2086275575286,4821115
2020-03-18,1167.0740966796875,1323.4707445794613,1157.2651015534195,1320.4832259686725,11165442
2020-03-19,1205.8125,1248.3846480070686,996.8355591830579,1090.4943334235952,9917249
2020-03-20,1257.0982666015625,1278.2598609944991,1141.7302574824457,1211.9369588801887,10379190
2020-03-23,1093.6807861328125,1199.4388977512258,1073.6644354839816,1132.7674884826536,6694405
2020-03-24,1148.1036376953125,1180.0700684002436,1036.768708355434,1148.3525976253547,7371834
2020-03-25,1284.7825927734375,1318.4917417682375,1120.369485238546,1135.2572398910804,6449060
2020-03-26,1367.238037109375,1384.2171522420767,1247.587997063023,1294.591581233597,7254949
2020-03-27,1393.279052734375,1443.9673087827546,1368.831265374863,1430.0255554565763,10223286
2020-03-30,1288.317626953125,1374.2586320613627,1270.492195569825,1339.6033657583137,5570325
2020-03-31,1290.6580810546875,1324.4667899629678,1279.6540038364012,1322.7739111120602,4476861
2020-04-01,1176.73388671875,1289.5127213292599,1153.182255884948,1289.5127213292599,10838462
2020-04-03,1136.103515625,1178.0781765754036,1082.477580674103,1176.7338175080304,10111471
2020-04-07,1193.065673828125,1223.9367012320708,1166.1281641942178,1215.9201438780017,8552570
2020-04-08,1182.708984375,1237.3806054604731,1155.5225133109934,1179.8708656856154,7405087
2020-04-09,1267.6043701171875,1275.8697666354244,1185.1487948737495,1209.9452275533856,8097402
2020-04-13,1245.6956787109375,1251.9196757050938,1210.9408551830795,1244.7993988312908,4250536
2020-04-15,1168.86669921875,1265.6622571233236,1148.5018285687358,1260.5834996117317,9045676
2020-04-16,1126.145263671875,1160.1033720208916,1109.8134688124992,1160.1033720208916,11055205
2020-04-17,1181.3148193359375,1192.9660949564584,1130.2780357819086,1182.4102186704588,8585395
