Date,Close,High,Low,Open,Volume
,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
2020-06-23,474.3644104003906,476.78148188892004,463.98515981039037,467.4923115063654,10732649
2020-06-24,459.1509094238281,477.16054482633604,455.9281383476999,475.8335248452087,8567595
2020-06-25,462.2315673828125,466.82877019446704,452.1366972238797,455.2646753823536,6954147
2020-06-26,454.9329528808594,465.40696777427763,447.58691622047104,464.69606100069166,7489306
2020-06-29,456.8760681152344,461.94720868155537,450.24093849530357,450.71487632529863,5727377
2020-06-30,448.2977600097656,458.7243912241206,445.31192883870705,458.20304230728294,8339357
2020-07-01,443.7479553222656,450.9991978600224,441.85220412667604,448.8190955558414,5983810
2020-07-02,448.34515380859375,450.193522778763,443.5583936526316,443.605775861357,3731827
2020-07-03,451.9945068359375,454.3641959470341,447.3973041750363,452.1366823972295,4666364
2020-07-06,455.169921875,456.1651797874243,446.8285983741933,453.0845837680807,5995257
2020-07-07,454.2694091796875,460.6675698723592,451.33098885397555,454.9803159233177,6793452
2020-07-08,457.35003662109375,462.56335310071245,454.9329650967464,457.3974188365235,6279449
2020-07-09,456.82867431640625,461.8050214051389,455.31206751351397,459.29312782837883,3184268
2020-07-10,468.1557922363281,472.8951706329844,457.8713353302101,459.3879422025141,14898919
2020-07-13,473.6534729003906,475.5492241964869,466.63916996333927,469.19844578381685,7504299
2020-07-14,466.4496154785156,477.6345366335941,464.55386416905355,473.9378273655169,6996801
2020-07-15,469.293212890625,473.3690663785582,466.54437945037694,468.4401306404608,4710170
2020-07-16,473.6534729003906,479.5776957006914,465.027798717779,470.146321431865,11263548
2020-07-17,477.3501892089844,482.9900320422401,471.42596632098287,473.55868656066343,9592466
2020-07-20,458.5822448730469,475.7388005584471,456.4969357219835,475.7388005584471,16111398
2020-07-21,452.3736572265625,462.75290723970073,450.24093699867404,462.5633205375851,8470749
2020-07-22,449.5773620605469,462.56326867398514,447.01811543015066,454.6485020414238,9848007
2020-07-23,451.1887512207031,456.73382884355755,449.3403823707965,453.0371200706098,5416291
2020-07-24,460.2884216308594,471.8524872099004,456.1651567661448,464.45906870734746,19812185
2020-07-27,450.7148742675781,462.18417548646977,444.55368250577106,459.57751743339753,6112617
2020-07-28,457.4447937011719,458.5348449114532,448.58215060329763,450.7148708121881,5917155
2020-07-29,467.3027038574219,470.43068198795083,458.91399841862363,460.38322305867854,8531803
2020-07-30,483.3692321777344,486.44982824984476,461.8998241029141,467.49231395993456,17534819
2020-07-31,503.9854736328125,512.800705239002,481.04687228982164,487.44503266017887,41253676
2020-08-03,492.32666015625,512.0424630828196,489.8621486318405,506.26038661895757,25348229
2020-08-04,501.3788146972656,504.6489971174059,490.28865850683746,494.79106764730625,11950138
2020-08-05,501.2840881347656,509.95717475017534,499.57792328441775,509.86241031272425,10928555
2020-08-06,504.5068359375,513.2273038551247,498.7248173707413,506.07085396729485,10919796
2020-08-07,498.53521728515625,507.5400360973758,495.35979909702473,504.55420461288094,7275403
2020-08-10,515.502197265625,522.0899452192541,498.58263847411314,498.58263847411314,16271180
2020-08-11,512.84814453125,520.9524703316725,507.2082724507392,519.4358923276872,7774058
2020-08-12,504.4120178222656,512.5637247460816,502.1370932671969,512.5637247460816,7405695
2020-08-13,493.6535949707031,508.0139332794454,491.9948126906579,504.4120176135227,8729438
2020-08-14,503.6537170410156,508.0613620736355,494.79110261648833,496.2129161297541,11787355
2020-08-17,500.8101806640625,509.48326780635927,499.5305714120025,508.1562184789449,6657699
2020-08-18,498.5826416015625,506.07088312452845,496.8290946157543,503.9855449159024,5555588
2020-08-19,498.96246337890625,506.0850714897742,497.96525187223824,503.33097316799865,5414452
2020-08-20,496.01849365234375,503.2361057614825,494.831392117677,498.10780394614557,4886692
2020-08-21,505.562744140625,511.5932543064611,497.9178223681907,500.0546049857993,9833484
2020-08-24,506.6074523925781,511.54580627078934,501.4791506798317,511.54580627078934,5675533
2020-08-25,498.6775207519531,508.2218621460906,497.110581720569,506.74981007488014,4414315
2020-08-26,498.72515869140625,503.33108981831595,495.97105973135,499.5798370844278,5205745
2020-08-27,505.4678039550781,509.9787895234889,498.0128299381222,502.3338676792858,8564601
2020-08-28,527.7853393554688,536.3324703571768,507.8420336848168,511.0234425943203,29017731
2020-08-31,494.0716247558594,532.7711321250113,488.18358995598606,532.4387669037349,20056792
2020-09-01,495.21124267578125,501.0992773440592,480.72860527235684,494.97382239047926,13860865
2020-09-02,488.6109924316406,499.15243089036153,483.57769350958415,497.15812349458474,9636136
2020-09-03,497.110595703125,500.33947674475615,486.75904827110367,492.4571350122672,10052098
2020-09-04,486.6640930175781,503.71088041595584,482.675420790614,491.93481154852543,12380025
2020-09-07,487.42388916015625,492.1248228208312,478.87675812763524,490.0355125312043,6320017
2020-09-08,476.6449890136719,491.602496912276,473.5585251102395,486.23677494073274,8519561
2020-09-09,483.672607421875,486.9964915109214,468.7626304687628,471.9915406445854,10532163
2020-09-10,482.39056396484375,490.7002742380114,478.30691752713403,486.9015495417062,8572739
2020-09-11,480.11126708984375,486.56908695792504,477.30972524232385,481.488316273551,5189670
2020-09-14,470.8518981933594,483.3877008494326,469.14248373206226,480.11128931965004,8041379
2020-09-15,480.9185485839844,486.61666470316254,471.04187000921735,472.9412323882868,11686574
2020-09-16,492.40966796875,493.8341896697204,478.0694770492549,484.47982470362143,10080107
2020-09-17,486.23675537109375,495.6386220687273,484.8122336268425,490.7952133599101,9959257
2020-09-18,497.0155944824219,508.07940279426384,489.08578025989885,491.41251061314574,25685130
2020-09-21,478.30694580078125,501.6691098604347,473.89093387668134,497.4430167931949,9977984
2020-09-22,483.24530029296875,489.08583406846,468.7626615171551,483.8625872968551,9862141
2020-09-23,477.5946350097656,494.78386927820435,473.17862354676646,494.30902871267824,10846053
2020-09-24,461.3550720214844,476.027656775738,458.69597650410265,472.4663526103335,8768744
2020-09-25,465.0113830566406,471.04186433392243,459.5032438164914,471.04186433392243,9665092
2020-09-28,484.432373046875,486.23676148254526,463.91925387543625,470.0921815114451,12221177
2020-09-29,480.6811218261719,491.7923742052091,479.1141536808939,491.7923742052091,8592449
2020-09-30,475.2679138183594,490.22539100899337,473.22607628612786,482.43799446616225,12981899
2020-10-01,481.393310546875,484.81216806714997,476.0750909577767,479.68389627772007,6733075
2020-10-05,496.7781982421875,498.67756058754316,478.4493632022935,481.48835454765026,8831627
2020-10-06,494.83135986328125,501.0517599066844,492.88452506611605,499.53229322693073,8537178
2020-10-07,485.99932861328125,496.588296623552,483.5776532730666,490.130418431063,8346531
2020-10-08,497.72784423828125,499.5322615244186,485.99930577019245,488.7058737354638,9392711
2020-10-09,487.0914611816406,502.66619650102894,485.3345163617655,498.5825793486743,11468529
2020-10-12,488.0411376953125,491.3174911005004,483.6725698818386,488.9908187899024,7092628
2020-10-13,477.83203125,493.7866908380857,476.36003716372096,488.13607679985324,8851580
2020-10-14,476.92987060546875,481.96316895447217,468.47768544217075,477.83205028132596,7640368
2020-10-15,465.6286315917969,479.3040626130998,464.3940577549693,479.3040626130998,6605127
2020-10-16,462.39971923828125,469.8547216284766,460.8327512283341,466.29341752315725,9085611
2020-10-19,459.31329345703125,466.1984819602616,456.70167023166806,465.2963022352268,5158764
2020-10-20,461.8774108886719,463.96669192902374,456.2267967251045,460.54786313899933,5550859
2020-10-21,465.5337219238281,467.43308426708,457.2714841378946,464.39409292508924,7269981
2020-10-22,461.1177062988281,466.673347250543,457.4614567753477,466.4834283950992,6428694
2020-10-23,460.12054443359375,469.6173564962066,458.6010487071816,463.44442865550826,6578265
2020-10-26,450.6237487792969,462.8746309897581,447.39483835683006,462.8746309897581,6499259
2020-10-27,446.7774963378906,452.7604758257585,443.7385051485803,450.71866720573803,7693069
2020-10-28,440.0822448730469,451.8108130254346,438.1828825481895,449.1991898287558,7723679
2020-10-29,433.3869934082031,440.6520483222956,429.49329494344437,439.70236718367,8297097
2020-10-30,442.3140563964844,445.40052055813453,432.9122175158522,435.5713135084848,8680701
2020-11-02,445.78033447265625,447.2998301378837,435.9511285872452,444.3558127206248,7737909
2020-11-03,461.1651611328125,465.91356676848403,442.313984962803,448.2969644709619,16853462
2020-11-04,479.2565612792969,492.17223003463096,470.2345908300369,474.74557605466686,48182254
2020-11-05,486.7115478515625,488.1360694550305,477.21473716177593,482.43798304115853,14095319
2020-11-06,483.5301208496094,489.7980218357575,481.2508920315465,489.0857610187399,9251548
2020-11-09,484.4798278808594,491.93483062788806,479.0666627708532,486.71158435674255,9718357
2020-11-10,466.1984558105469,488.3735157493769,464.3940674797186,485.28705211070803,12767338
2020-11-11,480.5861511230469,482.7704352333954,467.2431420930554,470.0921856424033,11754997
2020-11-12,483.6251525878906,491.64997034536736,476.9299117000806,478.5918538051936,10911897
2020-11-13,482.8653869628906,489.8455201525156,479.1616073333324,486.1892709510809,9501329
2020-11-14,488.1361083984375,489.5606301155536,484.5273316411976,485.2870649642054,1766237
2020-11-17,492.3147277832031,497.06313349884385,488.1835800322335,490.985150997249,12411197
2020-11-18,487.1863708496094,492.2671412001882,483.38764671043117,488.13605188440397,6483702
2020-11-19,481.8207702636719,490.1779823454965,479.5890136118562,486.2367821173671,6843207
2020-11-20,477.9269714355469,486.7115208360015,471.0417840676229,484.3373182953381,7594535
2020-11-23,487.04400634765625,490.4154211595696,475.79030670985685,478.6393504626105,8931512
2020-11-24,493.9766845703125,496.44583243078205,482.62798297743325,487.6612815938911,9096230
2020-11-25,480.7286071777344,499.5322822553973,478.78174344136016,494.973824352318,10673809
2020-11-26,485.95184326171875,487.1864171314479,477.0248175010263,480.53864925636,7494355
2020-11-27,485.9043273925781,494.5939036321059,483.5776260945445,488.1360837665032,12954065
2020-12-01,512.2105102539062,515.4394493821795,486.85406966328014,491.9348406816564,25388623
2020-12-02,517.243896484375,519.4756241521028,509.0291307962104,513.6825919312299,14234038
2020-12-03,520.66259765625,523.7015883872023,513.7774105463407,522.324539372435,9345458
2020-12-04,540.4159545898438,544.072261171738,517.7660862132398,522.3245433625272,16177536
2020-12-07,552.999267578125,561.7363448902526,538.5166314672605,541.6505673607596,21232768
2020-12-08,540.0836791992188,552.7144268453368,537.329580690875,552.7144268453368,10673103
2020-12-09,540.8909301757812,554.5663630031232,538.1843618697586,542.2679795449974,11144200
2020-12-10,536.7598266601562,545.8292705413479,531.9164177543263,541.3182848343946,6755693
2020-12-11,539.513916015625,544.1199050364248,533.7208833498966,539.3240261293616,6968494
2020-12-14,547.2538452148438,549.5331035041369,539.7513398128709,539.7513398128709,8582193
2020-12-15,542.8853149414062,550.8151302691867,540.3686364192539,546.0667239737627,5896090
2020-12-16,547.5861206054688,549.390537951992,542.2679294219316,542.2679294219316,5135499
2020-12-17,542.6002807617188,556.7980249947649,541.0333417035295,550.3402050187384,9025916
2020-12-18,546.0665893554688,547.871006488476,539.4188221807065,545.1169083305027,4940687
