Date,Close,High,Low,Open,Volume,SMA_20,RSI_14,MACD,MACD_Signal,Upper_Band,Lower_Band,sentiment_score,Target,Ticker
2025-08-20,1928.4000244140625,1952.0,1926.0,1937.0,6962619.0,1904.7150146484375,49.17712539665688,-7.233275420717064,-9.425053657258434,1965.3749225023616,1844.0551067945134,0.0464,1,BHARTIARTL.NS
2025-08-21,1929.9000244140625,1940.9000244140625,1927.699951171875,1930.0,3376913.0,1904.0200134277343,53.271806625078796,-4.128275004768284,-8.365697926760404,1963.0921375600683,1844.9478892954003,0.0,1,BHARTIARTL.NS
2025-08-22,1933.300048828125,1947.699951171875,1917.4000244140625,1934.0,3271920.0,1903.8800170898437,61.53846596980791,-1.377309483404133,-6.96802023808915,1962.6444976016146,1845.1155365780728,0.0588249999999999,0,BHARTIARTL.NS
2025-08-25,1930.699951171875,1940.0999755859373,1913.199951171875,1940.0,2451388.0,1903.5200134277343,54.36786778532341,0.586286020680518,-5.457158986335217,1961.4898072312894,1845.5502196241791,0.4728333333333332,0,BHARTIARTL.NS
2025-08-26,1904.699951171875,1925.800048828125,1896.199951171875,1922.0999755859373,5984656.0,1904.240008544922,42.98288867142557,0.04396015042561885,-4.35693515898305,1961.8751908729273,1846.6048262169165,0.28818,0,BHARTIARTL.NS
2025-08-27,1904.699951171875,1904.699951171875,1904.699951171875,1904.699951171875,0.0,1903.5600036621095,43.455497382198956,-0.3814400060466596,-3.5618361283957722,1960.816391641385,1846.3036156828339,0.11875,0,BHARTIARTL.NS
2025-08-28,1881.0999755859373,1899.800048828125,1878.199951171875,1893.0,5494113.0,1900.985003662109,40.0,-2.5930029673345416,-3.368069496183526,1957.3679363595022,1844.6020709647157,0.077175,1,BHARTIARTL.NS
2025-08-29,1888.800048828125,1900.0999755859373,1872.5,1872.5,4339042.0,1899.710003662109,59.98679186941073,-3.681908242843292,-3.4308372455154794,1955.9783212305847,1843.4416860936335,0.03443,1,BHARTIARTL.NS
2025-09-01,1900.5999755859373,1904.800048828125,1884.199951171875,1889.0,3421488.0,1900.5200012207029,63.34979546815979,-3.5517753897797775,-3.4550248743683394,1956.3248521398014,1844.7151503016044,0.195925,0,BHARTIARTL.NS
2025-09-02,1887.199951171875,1917.5,1878.0,1904.5,4423049.0,1899.1499999999996,60.975574332861804,-4.478291194458279,-3.6596781383863277,1954.844659239882,1843.4553407601172,-0.07636,0,BHARTIARTL.NS
2025-09-03,1883.9000244140625,1892.0999755859373,1870.0,1891.0,3803044.0,1896.7549987792966,55.346725462925605,-5.41640125351114,-4.01102276141129,1950.6277866024266,1842.8822109561665,0.0121799999999999,1,BHARTIARTL.NS
2025-09-05,1895.300048828125,1910.699951171875,1875.699951171875,1887.0,2620140.0,1892.9250061035152,51.014884644418714,-5.853911111230673,-4.7568551376783175,1943.2057118219916,1842.6443003850388,0.0357249999999999,0,BHARTIARTL.NS
2025-09-08,1887.699951171875,1899.0,1884.0999755859373,1898.0,2547552.0,1894.3800048828125,42.02899960902186,-5.990021822546623,-5.003488474651979,1942.097291932143,1846.662717833482,0.342425,1,BHARTIARTL.NS
